single byte scan codes: E0=0 F0=0 85

0x1C 	A pressed => 0
0x32 	B pressed => 1
0x21 	C pressed => 2
0x23 	D pressed => 3
0x24 	E pressed => 4
0x2B 	F pressed => 5
0x34 	G pressed => 6
0x33 	H pressed => 7
0x43 	I pressed => 8
0x3B 	J pressed => 9
0x42 	K pressed => 10
0x4B 	L pressed => 11
0x3A 	M pressed => 12
0x31 	N pressed => 13
0x44 	O pressed => 14
0x4D 	P pressed => 15
0x15 	Q pressed => 16
0x2D 	R pressed => 17
0x1B 	S pressed => 18
0x2C 	T pressed => 19
0x3C 	U pressed => 20
0x2A 	V pressed => 21
0x1D 	W pressed => 22
0x22 	X pressed => 23
0x35 	Y pressed => 24
0x1A 	Z pressed => 25
0x16 	1 pressed => 26
0x1E 	2 pressed => 27
0x26 	3 pressed => 28
0x25 	4 pressed => 29
0x2E 	5 pressed => 30
0x36 	6 pressed => 31
0x3D 	7 pressed => 32
0x3E 	8 pressed => 33
0x46 	9 pressed => 34
0x45 	0 (zero) pressed => 35
0x05 	F1 pressed => 36
0x06 	F2 pressed => 37
0x04 	F3 pressed => 38
0x0C 	F4 pressed => 39
0x03 	F5 pressed => 40
0x0B 	F6 pressed => 41
0x83 	F7 pressed => 42
0x0A 	F8 pressed => 43
0x01 	F9 pressed => 44
0x09 	F10 pressed => 45
0x78 	F11 pressed => 46
0x07 	F12 pressed => 47
0x55 	+= pressed => 48
0x4E 	- pressed => 49
0x4A 	/ pressed => 50
0x5D 	\ pressed => 51
0x49 	. pressed => 52
0x41 	, pressed => 53
0x4C 	; pressed => 54
0x54 	[ pressed => 55
0x5B 	] pressed => 56
0x52 	' pressed => 57
0x0E 	` (back tick) pressed => 58
0x29 	space pressed => 59
0x66 	backspace pressed => 60
0x5A 	enter pressed => 61
0x76 	escape pressed => 62
0x0D 	tab pressed => 63
0x14 	left control pressed => 64
0x11 	left alt pressed => 65
0x12 	left shift pressed => 66
0x59 	right shift pressed => 67
0x58 	CapsLock pressed => 68
